entry_index,filename,species_name,species_code,domain_category,threat_level,confidence_tier,recommended_deterrent,source_split,file_size_kb,relative_path,absolute_path
15,WS-WL-WB-00015.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,41.32,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00015.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00015.jpg
16,WS-WL-WB-00016.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,88.97,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00016.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00016.jpg
17,WS-WL-WB-00017.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,38.95,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00017.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00017.jpg
18,WS-WL-WB-00018.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,67.07,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00018.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00018.jpg
19,WS-WL-WB-00019.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,34.17,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00019.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00019.jpg
20,WS-WL-WB-00020.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,43.39,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00020.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00020.jpg
21,WS-WL-WB-00021.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,56.7,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00021.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00021.jpg
22,WS-WL-WB-00022.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,62.88,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00022.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00022.jpg
23,WS-WL-WB-00023.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,49.27,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00023.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00023.jpg
24,WS-WL-WB-00024.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,86.44,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00024.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00024.jpg
25,WS-WL-WB-00025.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,67.07,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00025.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00025.jpg
26,WS-WL-WB-00026.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,23.77,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00026.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00026.jpg
27,WS-WL-WB-00027.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,43.55,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00027.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00027.jpg
28,WS-WL-WB-00028.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,77.08,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00028.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00028.jpg
29,WS-WL-WB-00029.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,32.1,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00029.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00029.jpg
30,WS-WL-WB-00030.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,79.03,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00030.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00030.jpg
31,WS-WL-WB-00031.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,37.9,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00031.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00031.jpg
32,WS-WL-WB-00032.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,50.19,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00032.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00032.jpg
33,WS-WL-WB-00033.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,36.77,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00033.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00033.jpg
34,WS-WL-WB-00034.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,71.69,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00034.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00034.jpg
35,WS-WL-WB-00035.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,106.15,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00035.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00035.jpg
36,WS-WL-WB-00036.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,32.71,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00036.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00036.jpg
37,WS-WL-WB-00037.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,25.82,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00037.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00037.jpg
38,WS-WL-WB-00038.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,58.58,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00038.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00038.jpg
39,WS-WL-WB-00039.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,66.1,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00039.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00039.jpg
40,WS-WL-WB-00040.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,45.88,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00040.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00040.jpg
41,WS-WL-WB-00041.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,23.84,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00041.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00041.jpg
42,WS-WL-WB-00042.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,68.3,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00042.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00042.jpg
43,WS-WL-WB-00043.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,33.05,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00043.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00043.jpg
44,WS-WL-WB-00044.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,65.43,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00044.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00044.jpg
45,WS-WL-WB-00045.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,53.7,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00045.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00045.jpg
46,WS-WL-WB-00046.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,58.11,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00046.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00046.jpg
47,WS-WL-WB-00047.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,73.96,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00047.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00047.jpg
48,WS-WL-WB-00048.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,54.67,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00048.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00048.jpg
49,WS-WL-WB-00049.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,37.34,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00049.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00049.jpg
50,WS-WL-WB-00050.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,81.73,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00050.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00050.jpg
51,WS-WL-WB-00051.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,70.48,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00051.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00051.jpg
52,WS-WL-WB-00052.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,50.74,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00052.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00052.jpg
53,WS-WL-WB-00053.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,64.83,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00053.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00053.jpg
54,WS-WL-WB-00054.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,83.23,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00054.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00054.jpg
55,WS-WL-WB-00055.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,62.37,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00055.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00055.jpg
56,WS-WL-WB-00056.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,47.69,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00056.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00056.jpg
57,WS-WL-WB-00057.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,43.19,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00057.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00057.jpg
58,WS-WL-WB-00058.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,78.37,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00058.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00058.jpg
59,WS-WL-WB-00059.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,50.64,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00059.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00059.jpg
60,WS-WL-WB-00060.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,58.88,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00060.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00060.jpg
61,WS-WL-WB-00061.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,57.26,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00061.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00061.jpg
62,WS-WL-WB-00062.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,74.58,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00062.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00062.jpg
63,WS-WL-WB-00063.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,55.4,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00063.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00063.jpg
64,WS-WL-WB-00064.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,50.33,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00064.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00064.jpg
65,WS-WL-WB-00065.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,36.71,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00065.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00065.jpg
66,WS-WL-WB-00066.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,68.05,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00066.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00066.jpg
67,WS-WL-WB-00067.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,68.43,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00067.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00067.jpg
68,WS-WL-WB-00068.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,47.02,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00068.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00068.jpg
69,WS-WL-WB-00069.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,64.96,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00069.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00069.jpg
70,WS-WL-WB-00070.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,69.04,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00070.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00070.jpg
71,WS-WL-WB-00071.jpeg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,72.14,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00071.jpeg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00071.jpeg
72,WS-WL-WB-00071.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,34.09,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00071.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00071.jpg
73,WS-WL-WB-00072.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,51.09,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00072.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00072.jpg
